Address,Element,FileName,Recovery,Run,SheetName,Sl_No,Stage
/home/josheen/projects/def-vinay/josheen/DL/Figure13model/Cleaned_ImageData/Run_1/Image data/Stage 1/pics/Cell1 19h 06m 48.7750s.jpg,Lead,Cell1 19h 06m 48.7750s.jpg,7.54892335650595,1,R1_Lead,2,1
/home/josheen/projects/def-vinay/josheen/DL/Figure13model/Cleaned_ImageData/Run_1/Image data/Stage 1/pics/Cell1 19h 06m 58.5150s.jpg,Lead,Cell1 19h 06m 58.5150s.jpg,8.75884528924704,1,R1_Lead,3,1
/home/josheen/projects/def-vinay/josheen/DL/Figure13model/Cleaned_ImageData/Run_1/Image data/Stage 1/pics/Cell1 19h 07m 10.1370s.jpg,Lead,Cell1 19h 07m 10.1370s.jpg,9.60502869757345,1,R1_Lead,4,1
/home/josheen/projects/def-vinay/josheen/DL/Figure13model/Cleaned_ImageData/Run_1/Image data/Stage 1/pics/Cell1 19h 07m 20.7539s.jpg,Lead,Cell1 19h 07m 20.7539s.jpg,10.1239119723611,1,R1_Lead,5,1
/home/josheen/projects/def-vinay/josheen/DL/Figure13model/Cleaned_ImageData/Run_1/Image data/Stage 1/pics/Cell1 19h 07m 32.409s.jpg,Lead,Cell1 19h 07m 32.409s.jpg,10.577630917531199,1,R1_Lead,6,1
/home/josheen/projects/def-vinay/josheen/DL/Figure13model/Cleaned_ImageData/Run_1/Image data/Stage 1/pics/Cell1 19h 07m 43.2219s.jpg,Lead,Cell1 19h 07m 43.2219s.jpg,11.0156355563705,1,R1_Lead,7,1
/home/josheen/projects/def-vinay/josheen/DL/Figure13model/Cleaned_ImageData/Run_1/Image data/Stage 1/pics/Cell1 19h 08m 15.5360s.jpg,Lead,Cell1 19h 08m 15.5360s.jpg,12.419195646038,1,R1_Lead,10,1
/home/josheen/projects/def-vinay/josheen/DL/Figure13model/Cleaned_ImageData/Run_1/Image data/Stage 1/pics/Cell1 19h 08m 27.5610s.jpg,Lead,Cell1 19h 08m 27.5610s.jpg,12.937924016207099,1,R1_Lead,11,1
/home/josheen/projects/def-vinay/josheen/DL/Figure13model/Cleaned_ImageData/Run_1/Image data/Stage 1/pics/Cell1 19h 08m 37.7200s.jpg,Lead,Cell1 19h 08m 37.7200s.jpg,13.297866633396001,1,R1_Lead,12,1
/home/josheen/projects/def-vinay/josheen/DL/Figure13model/Cleaned_ImageData/Run_1/Image data/Stage 1/pics/Cell1 19h 08m 51.620s.jpg,Lead,Cell1 19h 08m 51.620s.jpg,13.7373192915034,1,R1_Lead,13,1
